Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Wise Man's Fear,Patrick Rothfuss,"",9780756404734,hardcover,read,2019/03/14,2019/03/18,2019/03/18,1,"",,,,,,,4.0,,"",,"",No
Parade,Rachel Cusk,"",9780374610043,hardcover,to-read,2024/10/31,"","",0,"",,,,,,,,,"",,"",No
"The Memoirs of Sherlock Holmes (Sherlock Holmes, #4)",Arthur Conan Doyle,"Christopher Roden, Owen Dudley Edwards",9780192123091,hardcover,read,2019/04/04,2019/04/04,2019/04/04,1,"",,,,,,,4.0,,"",,"",No
Wonder,R.J. Palacio,"",9780375869020,hardcover,to-read,2020/04/13,"","",0,"",,,,,,,,,"",,"",No
Sideswipe: A Hoke Moseley Detective Thriller,Charles Willeford,"",9781400032488,paperback,to-read,2024/06/15,"","",0,"",,,,,,,,,"",,"",No
Las Palabras y Los D-As.: Una Antolog-A Introductoria,"Octavio Paz, Ricardo Cayuela Gally","",9786071618214,paperback,read,2015/10/17,"","",1,"",,,,,,,4.0,,"",,"",No
Who's Afraid of Virginia Woolf?,Edward Albee,"",9780451218599,paperback,to-read,2016/06/11,"","",0,"",,,,,,,,,"",,"",No
Pedro Páramo / El Llano en llamas,Juan Rulfo,"",9788408066439,paperback,read,2015/10/07,"","",1,"",,,,,,,5.0,,"",,"",No
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"",9781455586691,hardcover,read,2016/11/11,2017/02/28,2017/02/28,2,"",,,,,,,4.0,,"",,"",No
A Game of Thrones,George R.R. Martin,"",9780553588484,paperback,read,2015/10/08,"","",1,"",,,,,,,4.0,,"",,"",No
All the Sinners Bleed,S.A. Cosby,"",9781250831910,hardcover,to-read,2023/11/28,"","",0,"",,,,,,,,,"",,"",No
El complot mongol,Rafael Bernal,"",9786070717390,,to-read,2016/12/08,"","",0,"",,,,,,,,,"",,"",No
The Bad Beginning,Lemony Snicket,Brett Helquist (Illustrator),9780439206471,paperback,read,2017/01/23,2017/01/23,2017/01/23,1,"",,,,,,,4.0,,"",,"",No
Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,Curt Gentry,9780393322231,paperback,read,2020/01/28,2020/02/20,2020/02/20,1,"",,,,,,,5.0,,"",,"",No
Three Days of the Condor,James Grady,"","",hardcover,read,2024/08/03,2024/11/04,2024/11/04,1,"",,,,,,,5.0,,"",,"",No
The Shell Seekers,Rosamunde Pilcher,"",9780517222850,hardcover,to-read,2025/10/25,"","",0,"",,,,,,,,,"",,"",No
The Hunger Games,Suzanne Collins,"",9780439023481,hardcover,read,2015/10/08,"","",1,"",,,,,,,4.0,,"",,"",No
